INVESTIGATION_ID,Location,Sublocation,Desc,Status
4984858,Driveway,South Side of Property,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to: unprotected black plastic bags, yard waste (branches/leaves), discarded wooden lattice, loose plastic and papers.",Closed
4984858,Rear Yard,West Side of Property,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to: metal stands on wheels, various plastic containers and general litter.",Closed
4964794,South Side of Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to mattresses, scattered debris, waste bags, etc...",Closed
4988520,Underground Parking Level,,"The ceilings in the parking or storage garage are not maintained free of holes, breaks or cracks.",Closed
4988520,Underground Parking Level,,"The walls in the parking or storage garage are not maintained free of holes, breaks or cracks.",Closed
4988520,Underground Parking Level,,The parking or storage garage walls painted surface is not maintained reasonably clean.,Open
4988520,Underground Parking Level,,The parking or storage garage walls from floor level to a height of sixty (60) centimeters are not painted black.,Open
4988520,8th  Floor,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials. Namely the drop down ceiling are damaged due to water.",Closed
4988520,8th  Floor,,"Floor and/or floor covering not kept free from holes, stains, rubbish and debris. Namely the carpet.",Closed
4988520,1st Parking Level,Outside Storage Room,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Closed
4988520,8th  Floor,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Closed
4988618,Garage,,"The accessory building is not constructed and/or maintained in good repair. Namely, the garage at the rear of the property. The roof and soffit of the garage consists of various holes, the shingles on the garage roof are rotting and in disrepair, and the sides of the garage consists of rotting wood. ",Open
4988618,Garage,,"The property is not being kept free of conditions which may encourage infestation. Namely, the garage and garage roof consists of various holes, which may encourage an infestation.",Open
5011101,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to; litter, debris, over flown garbage container, card boards  and/or any other materials by their nature of which appear to have been cast aside, discarded or abandoned",Open
5011095,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to; litter, debris, over flown garbage container, card boards  and/or any other materials by their nature of which appear to have been cast aside, discarded or abandoned",Open
4997052,Yard,,"The tree, plant, limb or branch, which is located on the property is diseased, decayed or damaged and has not been removed or otherwise pruned to remove the diseased, decayed or damaged portion. Namely:  	Norway maple approximately 35 cm in diameter and completely dead .",Open
5006856,Throughout Building,,"The property has not been repaired in accordance with the standards.  -Every wall and ceiling shall be repaired and maintained clean and free of any deteriorated surface material. Namely interior ceilings and walls to be cleaned, repaired and finished to reasonably match the existing walls or ceiling.-Ensure that every supplied facility in or on the property is: constructed, installed, maintained or repaired so that it will function safely and effectively. To include plumbing, heating, culinary and sanitary facilities.",Open
5002766,Rear Yard,,The retaining wall is not being maintained in good repair.,Open
5007280,Throughout Lot,,Unauthorized access to vacant property is not adequately prevented.,Open
5006440,West Side of Property,,"The fence, screen and/or other enclosure around or on the property is not being maintained in a structurally sound and/or plumb condition.",Open
5006440,Throughout Property,,"The fence, screen and/or other enclosure around or on the property is not being maintained free from hazards.Namely; Sharpe nails exposed on fences .",Open
5006440,West Side of Property,Front /Rear yard,"The fence, screen and/or other enclosure around or on the property is not maintained with a uniform construction.",Open
4998437,throughout property.,,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair.",Open
4998437,Throughout Property,by wood fence.,"The fence, screen and/or other enclosure around or on the property is not being maintained in a structurally sound and/or plumb condition.",Open
4998437,By wood fence,,The yard does not have suitable ground cover to prevent unstable soil conditions or erosion.,Open
5006856,Throughout Building,,"Immediate action has not been taken to eliminate an unclean, condition. Namely but not limited to, the removal from the property of waste, rubbish and debris to affirm, rooms, doors, passageways and exits shall be maintained free from hazardous conditions, obstructions and impediments.",Open
5006856,Throughout Building,,"The property is not maintained and/or kept clean in accordance with the standards.Namely, waste, rubbish and debris including animal feces and urine, to be removed from the property, ceilings, walls, floors and floor surfaces cleaned, sanitized, deodorized, repaired or maintained to affirm that, all surfaces shall be kept in a clean and sanitary condition and free from holes, stains, waste, rubbish or debris and maintained free from any trip or hazardous condition.",Open
5037589,Rear,,The swimminig pool enclosure does not comply with this article. No temporary enclosure installed,Open
5033254,Throughout Building,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5043736,Roof Of Building,,The roof or one of its component is not free from leaks. Namely flat roof ponding due to sagging and uneven areas of the roof.,Open
5251673,Exterior Of Building,Side Yard,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair.",Closed
5251716,Exterior,Side Of Property,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair.",Closed
5034798,Room 1,,Exterior window(s) with broken/cracked glass.,Open
5034798,Room 1,,"Exterior window does not prevent the entry of vermin, rodents and/or insects.",Open
5034798,Room 1,,The light standard(s) supporting artificial light is not kept in good repair and in good working order.,Open
5034798,Room 1,,Immediate action has not been taken to eliminate an unsafe condition. The smoke alarm is not in good  working order. ,Open
5034798,Room 2- Living room,,"Exterior window does not prevent the entry of vermin, rodents and/or insects.",Open
5034798,Room 2 - Bedroom,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5034798,Room 2 hallway,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5034798,Room 2 -Kitchen drawer ,,The cupboard is not maintained in good repair and good working order.,Open
5034798,Room 2,,Storm or screen door not maintained in good repair.,Open
5034798,Room 2- Kitchen door frame.,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5034798,Room 2- Rear exterior door.,,Door is not provided with a dead-bolt lock with a bolt throw of not less than 25 millimetres.,Open
5034798,Main and 2nd storey,,"Floor and/or floor covering not kept free from holes, stains, rubbish and debris.",Closed
5034798,Starirway landing between main and 2nd storey,,"Floor and/or floor covering not kept free from holes, stains, rubbish and debris.",Open
5034798,Main and 2nd ,,"The stair, landing and every appurtenance, surface cover and finish is not maintained. ",Open
5034798,Kitchen,,"Required or provided safety equipment relative to exits and means of egress are not maintained in good working order, namely: (door closures, coordinating devices, smoke seals, pressurized vestibules, latching devices, hinges, moulding and similar devices).",Open
5034798,Kitchen,,Exterior door not maintained weather-tight,Open
5034798,Bathroom,,"Floor and/or floor covering not kept free from holes, stains, rubbish and debris.",Open
5034798,3rd storey hallway ,,"Floor and/or floor covering not kept free from holes, stains, rubbish and debris.",Open
5382198,Dwelling Unit  -  Hall,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.Namely, ceiling paint in the hallway is blistering and cracking.",Open
5034798,room 6,,"Floor and/or floor covering not kept free from holes, stains, rubbish and debris.",Open
5034798,Room 6 -Kitchen,,"Exterior window does not prevent the entry of vermin, rodents and/or insects.",Open
5034798,Room 6 ,,"Previously finished wall(s) have marks, stains, graffiti, smoke damage, painted slogans and/or other defacements.",Open
5034798,Room 6,,"Previously finished surface(s) have marks, stains, graffiti, smoke damage, painted slogans and/or other defacements.",Open
5034798,North,,The roof or one of its components is not weather tight.,Open
5034798,North,,"Eavestrough, roof gutter, flashing and/or down pipe not maintained free from obstructions.",Open
5034798,Rear West,,"Eavestrough, roof gutter, flashing and/or down pipe not maintained in good repair.",Open
5034798,Rear,,The roof or one of its components is not weather tight.,Open
5034798,Room 4,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5034798,Room 3,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5034798,Room 3,,Immediate action has not been taken to eliminate an unsafe condition.,Open
5034798,Front East,,"Eavestrough, roof gutter, flashing and/or down pipe not maintained in good repair.",Open
5031118,Exterior,,The retaining wall is not being maintained in good repair.,Open
5031118,Exterior,,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair.",Open
5031118,Exterior,,"The fence, screen and/or other enclosure around or on the property is not being maintained in a structurally sound and/or plumb condition.",Open
5031118,Exterior Yard,,The  not maintained in good repair.,Open
5038121,Throughout Property,,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair. Namely, the fence throughout the entire property. ",Open
5038127,Throughout Property,,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair. Namely, the fence throughout the property.",Open
5269212,Rear,,"The accessory building is not  maintained in good repair. Namely the shingles are sinking, lifting and damaged in some areas.",Open
5278888,Exterior,Yard,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to Namely; renovation materials,  pieces of boards,  baseboard trims, broken slab on the ground, appliances, other waste litter and debris.",Open
5031805,Front Yard,,"Fence (single or multiple residential) in front yard and within 2.4 m public highway exceeds 1.2 metres.  Namely, fence height to be reduced to maximum 1.2 metres for the first 2.4 metres from the property line.",Open
5031805,Front Yard,West Side of Driveway,"Fail to provide open construction on a fence within 2.4 metres in any direction of the point a driveway intersects the lot line.  Namely, wooden fence creates a sight line obstruction. Any fence within 2.4 metres of any driveway shall be an open mesh chain-link fence or of an equivalent open-fence construction for at least 2.4 metres from the lot line at which the driveway begins so as not to obstruct the view of theboulevard or highway The fence must be an open-type fence construction for 2.4 metres in any direction and cannot exceed 1.2 metres in height.",Open
5031805,Front Yard,East Side of Driveway,"Fail to provide open construction on a fence within 2.4 metres in any direction of the point a driveway intersects the lot line. Namely, the hedge creates a sight line obstruction. Any fence within 2.4 metres of any driveway shall be an open mesh chain-link fence or of an equivalent open-fence construction for at least 2.4 metres from the lot line at which the driveway begins so as not to obstruct the view of theboulevard or highway. The fence cannot exceed 1.2 metres in height.",Open
5033328,,,Fail to obtain the required Permit for excavation and/or erection of a swimming pool enclosure.,Open
5055218,Exterior Of Building,Exterior Of The Accessory Building,The accessory building is not constructed and/or maintained free from hazards.,Open
5055218,Exterior Of Building,Accessory Building,"Roof decks, catwalks and/or related guards are not maintained in good repair.",Open
5055218,Exterior Of Building,Accessory Building,The exterior walls and their components are not being maintained in good repair.,Open
5042218,West Side Yard,,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair. Namely, the fence on the west side of the property (part of the pool enclosure).",Open
5063799,,,Storm or screen door not maintained in good repair. Namely screen door unable to slide,Open
5063799,,,Interior door is not a good fit in its frame. Namely: hinges side of door from ground to top,Open
5063799,Living Room,,Floor(s) and/or floor covering(s) not maintained free from trip or other hazardous condition. Namely wooden strip have gaps,Open
5063799,,,The supplied piece(s) of equipment and/or appliance(s) in or on the property is not kept in a satisfactory working condition. Namely washroom machine doesn't drain,Open
5063799,,,Dwelling unit window that is capable of being opened has screen that is not maintained in good repair and free from defects or missing components. Namely sreen unable to slide,Open
5074536,Rear Yard,Garage/Shed,"The accessory building is not being protected by paint, preservatives and/or other weather resistant materials. Namely, deterioriated walls.",Open
5074536,Rear Yard,Garage/Shed,"The accessory building is not constructed and/or maintained in good repair.Namely caved roof, damaged doors and windows and frames.",Open
5077212,Rear,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5528973,,,"The tree, plant, limb or branch, which is located on the property is dead and has not been removed or otherwise pruned to remove the dead portion.",Substantially Complete
5072869,Front West,,Immediate action has not been taken to eliminate an unsafe condition.,Open
5072869,2nd Floor,,The guards and/or other appurtenant attachments and/or their supporting structural members are not maintained in good repair.,Open
5072869,Front West,,The guards and/or other appurtenant attachments and/or their supporting structural members are not maintained in good repair.,Open
5072869,Front West,,The handrails and/or other appurtenant attachments and/or their supporting structural members are not maintained in good repair.,Open
5072869,Bathroom,,The electrical fixtures are not maintained in a safe and complete condition.,Open
5072869,Bathroom,,The electrical switches are not maintained in a safe and complete condition.,Open
5072869,2nd Floor,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5072869,Bedroom,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5072869,Hall,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5072869,Kitchen,,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5072869,Stairway - 1st Floor to 2nd Floor  - Centre,,The electrical connections are not maintained in a safe and complete condition.,Open
5072869,Bedroom,,The electrical receptacle are not  maintained in good working order.,Open
5072869,2nd Floor,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5072869,Hall,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5072869,Kitchen,,Repair(s) does not reasonably match existing ceiling(s).,Open
5072869,Kitchen,,Extension cords or other extensions are used as a permanent wiring system.,Open
5072869,Kitchen,,The electrical receptacle are not maintained in a safe and complete condition.,Open
5072869,Kitchen,,The electrical connections are not maintained in a safe and complete condition.,Open
5072869,Kitchen,,The supplied appliance(s) is not maintained in good repair and good working order.  Namely:,Open
5072869,Kitchen,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.",Open
5072869,Kitchen,,Repair(s) does not reasonably match existing wall(s),Open
5072869,Kitchen,,Dwelling unit window that is capable of being opened has no screen.,Open
5079175,,,"The occupant is not maintaining the property in a clean and sanitary condition, namely: accumulated garbage and dibiris on the front porch/Verandah.",Open
5069558,Exterior Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to namely inoperable vehicles, garbage bags, trash, wood and any other items or things that appears to have been abandoned or discarded at the time of inspection.",Open
5078420,Side Yard,Rear Yard,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to scrap metal debris,  wood debris,  shopping cart, wood chairs missing seat, inoperable lawnmower, inoperable bikes, filled plastic bags,  metal cans, wood skids.",Open
5528836,Garage,East Side of Building,No eavestrough or roof gutter provided for drainage from roof surfaces.,Open
5528836,Garage,West Side of Building,No eavestrough or roof gutter provided for drainage from roof surfaces.,Open
5528836,Garage,East Side of Building,"Eavestrough or roof gutter does not discharge into a downpipe to drain roof surfaces, specifically no downpipe provided.",Open
5528836,Garage,West Side of Building,"Eavestrough or roof gutter does not discharge into a downpipe to drain roof surfaces, specifically no downpipe provided.",Open
5528836,Roof Of The Garage,South West Side,"Above ground discharge from downpipe or pipe is directed to discharge in a manner that is not contained on the property, specifically roof drainage discharging onto neighbouring rear yard property 217 Laughton Ave.",Open
5528836,Roof Of The Garage,,"The roof or one of its components is not weather tight, specifically missing soffit along the west, north, and east sides of the roof.",Open
5528836,Garage,Northwest Side of Building,"The exterior walls and their components are not being maintained free from loose or unsecured objects or materials, specifically unsecured wood panel.",Open
5528642,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to unrolled carpet, cardboard , wood and other litter and debris throughout the property.",Closed
5528642,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to  unrolled carpet, cardboard , wood and other litter and debris throughout the property.",Closed
5062294,Roof Of Building,,"Chimney, smoke stack or supporting member is not maintained in good repair and/or free from defects.",Open
5222600,,,Interior lighting fixtures or lamps are not maintained.,Open
5222600,,,The supplied facility in or on the property is not kept in a satisfactory working condition.,Open
5222600,,,"Interior door(s), frames(s), glass pane(s), and/or hardware not maintained in good repair.",Open
5222600,,,Interior door is not a good fit in its frame.,Open
5222600,,,"Previously finished wall(s) in the public area of the property are not renewed or refinished, when necessary, to maintain a similar appearance.",Open
5222600,,,Wall(s) constructed for the purpose of separation is not maintained in a good state of repair.,Open
5222600,,,"Window that is capable of being opened, has a defective locking/latching mechanism.",Open
5222600,,,The supplied piece(s) of equipment and/or appliance(s) in or on the property is not kept in a satisfactory working condition.,Open
5101277,South Side of Building,,"Above ground discharge from downpipe or pipe is directed to discharge in a manner that is not contained on the property. Namely, downspouts directed to neighboring property on 39 Caroline Ave.",Open
5101461,Underground Parking Area,,"The parking or storage garage columns painted surface is not maintained in a state of good repair.Namely, throughout entire parking garage, paint peeling or missing.",Open
5101461,Underground Parking Area,,"The parking or storage garage columns painted surface is not maintained reasonably clean.Namely, all columns throughout underground dirty and /or stained. ",Open
5101461,Underground Parking Area,,"The parking or storage garage walls painted surface is not maintained in a state of good repair.Namely, paint and wall deteroirating throughout underground parking.",Open
5101461,Underground Parking Area,,"The parking or storage garage walls painted surface is not maintained reasonably clean.Namely, walls in the underground parking lot are dusty and stained. ",Open
5101461,Underground Parking Area,,"The floor drain is not maintained in good repair.Namely, the exterior stairwell exit is missing the floor drain.",Open
5101461,Underground Parking Area,,"The plumbing system is not kept free from leaks or defects.Namely, leaking pipe near 1G01 column. ",Open
5101461,Exterior Of Building,,"The light standard(s) supporting artificial light is not kept in good repair and in good working order.Namely, light fixture in exterior stairwell missing fixture and light.",Open
5101461,Exterior Of Building,,"The exterior walls and their components are not being maintained in a weather tight condition.Namely, the exterior stairwell walls leading to the parking garage are deteroirating ",Open
5101461,Driveway,,"Driveway(s) and/or similar areas not maintained.Namely, potholes found in driveways around building. ",Open
5115475,Front Yard,,"The tree, plant, limb or branch, which is located on the property is diseased, decayed or damaged and has not been removed or otherwise pruned to remove the diseased, decayed or damaged portion. ",Open
5090883,Exterior Of Building,Rear Yard,Fail to obtain the required Permit for excavation and/or erection of a swimming pool enclosure.,Open
5085983,Throughout Property,,Exterior yard that is used for the parking or storage of vehicles or surfaced with a material impervious to water is not adequately graded and drained so as to prevent the ponding of water .,Open
5157168,West Side of Building,,Roof drainage discharging at more than one hundred and fifty (150) millimeters above grade.,Open
5157168,West Side of Building,,"Eavestrough, roof gutter, flashing and/or down pipe not maintained in good repair.",Open
5157168,Rear Yard,,"The yards and /or other part of property is not being kept clean and free from accumulation of junk, rubbish, brush, refuse, litter, garbage and/or other debris, namely inoperable vehicle., wood debris.",Open
5102295,Swimming Pool,,The swimming pool enclosure fails to completely enclose the area in which the swimming pool is located.,Open
5102295,Swimming Pool,,Allowing water to collect or remain in a swimming pool without an approved permanent swimming pool enclosure in place.,Open
5102295,Swimming Pool,,Use of swimming pool without an approved permanent swimming pool enclosure in place.,Open
5102295,Swimming Pool,,Swimming pool enclosure not constructed so that all entrances to any building are located outside the enclosed area.,Open
5102295,Swimming Pool,,Fail to prevent access to the enclosed pool area through the wall of building forming part of pool enclosure.,Open
5102295,Swimming Pool,,Swimming pool enclosure is less than 1.2 metres high on single residential property.,Open
5102295,Swimming Pool,,Wood fence used in a swimming pool enclosure is constructed having spaces between the boards in excess of 38 millimetres where the horizontal rails are spaced less than 1.2 metres apart.,Open
5351981,Throughout Building,,"Height of the guard for the exit stairs are less than 1,070 millimetres around landings. ",Open
5351981,Throughout Building,,Height of the guard for the exit stairs are less than 920 millimetres measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings.,Open
5351981,Throughout Building,,Required guard does not prevent the passage of a sphere having a diameter more than 100 millimetres.Namely:: Stairwell and Landing guards have openings that exceed 100mm,Open
5365508,Balcony,,Storm or screen door not maintained in good repair.,Closed
5091884,South,,"Height of the fence exceeds the height permitted by the Chapter., namely;The height of the fence ranges from 2.65 M to 3.15 M. The maximum permitted height of the fence is 2 M. ",Open
5094123,Rear Yard,,Fail to obtain the required Permit for excavation and/or erection of a swimming pool enclosure.,Open
5094123,Rear Yard,,Allowing water in a swimming pool without an approved permanent swimming pool enclosure in place.,Open
5080361,Accessory Building,,The roof or one of its components is not weather tight.,Closed
5080361,Accessory Building,,The exterior walls and their components are not being maintained in a weather tight condition.,Closed
5080361,Accessory Building,,The accessory building is not constructed and/or maintained in good repair.,Closed
5080361,,,"The building, structure and/or parts thereof are not being maintained in good repair.",Open
5080361,North,,"The building, structure and/or parts thereof are not being maintained in a structurally sound condition so as to prevent the entry of moisture that would contribute to damage, decay or deterioration.",Open
5260774,Front,,The grass is not being maintained in a living condition.,Substantially Complete
5260774,Front,,Exterior walkway not maintained.,Closed
5262728,Rear Yard,,Above ground discharge from downpipe or pipe is directed to discharge in a manner that is not contained on the property.,Open
5262734,,,"Eavestrough, roof gutter, flashing and/or down pipe not maintained free from leaks and/or defects.",Open
5262734,,,Roof drainage discharging at more than one hundred and fifty (150) millimeters above grade.,Open
5262734,,,"Above ground discharge from downpipe or pipe is directed to discharge in a manner that is likely to cause a hazard on a stairway, walkway, street and/or boulevard.",Open
5262768,,,Handrail not provided on exterior stairs with more than three risers serving single dwelling unit,Closed
5261576,Throughout Property,& within garage.,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to waste, loose litter, debris, metals, plastics and furniture . mattress. ",Closed
5085629,Throughout Building,,No eavestrough or roof gutter provided for drainage from roof surfaces.,Open
5085629,Throughout Building,,The roof or one of its components is not weather tight.,Closed
5085629,Throughout Building,,"The roof or one of it's components (shingles) is not free from loose, unsecured or unsafe objects and/or materials.",Closed
5085629,East Side of Building,,Exterior window(s) with broken/cracked glass.,Open
5104797,Throughout Property,,The property is not maintained and/or kept clean in accordance with the standards.,Open
5104797,Throughout Property,,Immediate action has not been taken to eliminate an unsafe condition.,Open
5104797,Throughout Property,,The property has not been repaired in accordance with the standards.,Open
5104801,Throughout Building,,The property is not being kept free of conditions which may encourage infestation.,Open
5104801,Throughout Building,,"The property is not being kept free of rodents, vermin, insects or other pests.",Open
5104801,Throughout Dwelling Unit,,The property is not being kept free of conditions which may encourage infestation.,Open
5104801,Throughout Dwelling Unit,,"The property is not being kept free of rodents, vermin, insects or other pests.",Open
5448110,KITCHEN,,The plumbing system is not kept free from leaks or defects.,Closed
